Melbourne Metropolitan Area,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
Year,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,
1992 ,"57,327 ","113,000 ",,"132,492 ",,"17,535 ","105,000 ",,"127,752 ",,"19,560 ","40,000 ",,"46,065 ",
1993 ,"61,337 ","113,500 ",,"133,684 ",,"20,601 ","105,000 ",,"130,841 ",,"20,746 ","42,000 ",,"48,646 ",
1994 ,"64,958 ","116,000 ",,"140,462 ",,"23,401 ","110,000 ",,"137,523 ",,"21,020 ","44,000 ",,"52,304 ",
1995 ,"60,632 ","115,000 ",,"140,589 ",,"19,316 ","110,000 ",,"136,467 ",,"17,153 ","46,000 ",,"59,126 ",
1996 ,"63,363 ","117,250 ",,"143,145 ",,"22,361 ","110,000 ",,"139,718 ",,"16,094 ","46,000 ",,"55,970 ",
1997 ,"76,580 ","125,000 ",,"158,496 ",,"30,709 ","122,000 ",,"153,428 ",,"22,092 ","50,000 ",,"61,438 ",
1998 ,"72,860 ","133,500 ",,"169,566 ",,"28,921 ","134,000 ",,"165,847 ",,"22,265 ","53,000 ",,"64,044 ",
1999 ,"77,209 ","148,950 ",,"191,232 ",,"33,882 ","160,000 ",,"199,725 ",,"28,012 ","57,500 ",,"66,887 ",
2000 ,"81,153 ","160,000 ",,"203,815 ",,"33,817 ","175,000 ",,"216,712 ",,"22,272 ","57,935 ",,"62,688 ",
2001 ,"94,482 ","185,000 ",,"234,978 ",,"41,837 ","215,000 ",,"253,949 ",,"35,457 ","65,826 ",,"72,979 ",
2002 ,"90,890 ","220,000 ",,"270,901 ",,"37,148 ","243,000 ",,"284,635 ",,"34,150 ","77,000 ",,"83,084 ",
2003 ,"88,780 ","250,000 ",,"308,345 ",,"35,301 ","256,000 ",,"302,409 ",,"34,389 ","99,000 ",,"107,294 ",
2004 ,"78,345 ","270,000 ",,"328,180 ",,"30,367 ","260,508 ",,"308,199 ",,"21,930 ","114,775 ",,"119,643 ",
2005 ,"81,025 ","280,000 ",,"348,446 ",,"33,419 ","272,000 ",,"320,745 ",,"21,281 ","121,000 ",,"126,758 ",
2006 ,"78,148 ","300,000 ",,"381,696 ",,"35,197 ","290,000 ",,"351,380 ",,"22,427 ","126,500 ",,"136,063 ",
2007 ,"92,771 ","322,800 ",,"433,339 ",,"47,414 ","325,000 ",,"392,748 ",,"28,562 ","135,000 ",,"142,933 ",
2008 ,"73,512 ","335,000 ",,"436,677 ",,"36,310 ","340,000 ",,"390,295 ",,"22,786 ","142,000 ",,"146,914 ",
2009 ,"84,822 ","360,200 ",,"460,155 ",,"46,568 ","365,000 ",,"414,841 ",,"32,889 ","153,000 ",,"156,130 ",
2010 ,"78,066 ","420,000 ",,"540,184 ",,"44,911 ","428,000 ",,"485,431 ",,"30,211 ","173,000 ",,"180,497 ",
2011 ,"69,618 ","420,000 ",,"537,730 ",,"38,789 ","425,000 ",,"481,570 ",,"21,069 ","181,000 ",,"192,073 ",
2012 ,"67,902 ","415,000 ",,"525,697 ",,"38,499 ","417,000 ",,"468,496 ",,"17,697 ","181,000 ",,"190,391 ",
2013 ,"77,903 ","435,000 ",,"566,856 ",,"47,359 ","441,000 ",,"498,031 ",,"21,175 ","186,000 ",,"197,959 ",
2014 ,"83,874 ","465,000 ",,"618,151 ",,"55,612 ","465,500 ",,"521,650 ",,"24,564 ","190,000 ",,"203,727 ",
2015 ,"91,203 ","500,000 ",,"685,502 ",,"58,386 ","491,000 ",,"561,568 ",,"29,105 ","202,000 ",,"215,767 ",
2016 ,"87,639 ","526,500 ",,"713,522 ",,"51,773 ","499,000 ",,"585,403 ",,"35,768 ","214,000 ",,"224,484 ",
2017 ,"91,145 ","595,500 ",,"779,028 ",,"52,968 ","530,000 ",,"622,848 ",,"42,716 ","240,000 ",,"251,709 ",
2018 ,"79,232 ","611,000 ",,"780,108 ",,"39,631 ","535,000 ",,"614,253 ",,"30,535 ","260,000 ",,"269,875 ",
2019 ,"76,037 ","610,000 ",,"774,835 ",,"35,613 ","545,000 ",,"627,242 ",,"22,135 ","264,000 ",,"274,485 ",
2020 ,"73,129 ","625,000 ",,"800,361 ",,"31,848 ","568,535 ",,"641,335 ",,"38,225 ","270,000 ",,"279,463 ",
2021 ,"101,443 ","740,000 ",,"969,043 ",,"46,827 ","605,000 ",,"700,683 ",,"25,583 ","293,000 ",,"316,562 ",
2022 ,"14,567 ","722,000 ",,"886,862 ",,"7,739 ","576,000 ",,"646,876 ",,"1,526 ","300,000 ",,"336,173 ",
Statistics for 2022 are based on a small number of sales and are preliminary only.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VICTORIA,,,,,,,,,,,,,,,
Analysis of property sales for 2021,,,,,,,,,,,,,,,
Land Use,"No of
Sales",Mean Sales Price  ($),Median Sales Price  ($),Median Price per  Unit Area,,"Median Block
size","Price-Indices
(base is 100)",,,,"Mean Block
 size",Mean Price per  Unit Area,,,
,,,,,,,2020,,,2016,,,,,
Commercial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Advertising Sign Uns,4,2851250,2102500,10315.19,,349.00,ND,,,ND,879.00,,1746.30,,
Amusement Parks etc.,4,718125,673750,782.22,,942.50,28.88<,,,ND,1533.50,,468.29,,
Backpackers/Hostel,2,1644900,1644900,701.05,,3245.50,ND,,,19.94<,3245.50,,506.82,,
Bank,16,1489456,1160500,1845.34,,572.00,62.14<,,,290.13<,616.50,,2415.99,,
Bed and Breakfast,13,2034230,1260000,2017.54,,1140.00,126.95<,,,268.09<,53353.15,,38.13,,
Bottle Shop/Licensed,4,1639125,1300000,7784.03,,333.00,ND,,,83.60<,348.50,,4703.37,,
Brothel,2,1580000,1580000,7265.43,,1837.00,143.64<,,,10.62<,1837.00,,860.10,,
CafŽ,29,1113917,640200,683.59,,512.00,143.06<,,,84.79<,911.30,,1121.06,,
Car Wash,13,1725910,1711000,890.21,,1348.00,78.67<,,,269.45<,1414.77,,1219.92,,
CarPark Ð OpenAir,3,1626333,400000,1065.29,,291.00,242.42<,,,2.67<,436.67,,3724.43,,
CarPark Ð UnderCover,6,23166,21500,NA,,NA,143.33<,,,10.24<,NA,,NA,,
Cinema Complex,2,7546000,7546000,8847.40,,820.50,ND,,,ND,820.50,,9196.83,,
Com Land (Struct 0),33,2198987,1061500,305.02,,836.00,94.36<,,,62.44<,2886.15,,761.91,,
ConferenceConvention,1,4775000,4775000,318.33,,15000.00,ND,,,ND,15000.00,,318.33,,
Convenience/FastFood,1,5000000,5000000,25773.20,,194.00,1689.19<,,,120.05<,194.00,,25773.20,,
Crematorium/Funeral,8,1958750,1525000,1862.76,,1390.00,49.51<,,,217.86<,4970.00,,394.11,,
Dental Clinic,9,1847222,1500000,1541.30,,678.00,272.73<,,,298.51<,599.89,,3079.27,,
Dept/Discount Store,2,10181000,10181000,1884.86,,3562.50,ND,,,ND,3562.50,,2857.82,,
Dev Site,337,2669045,600000,885.50,,1214.00,121.21<,,,116.86<,11461.67,,230.02,,
Display Yard,2,3425000,3425000,529.75,,1227.00,ND,,,391.43<,1227.00,,529.75,,
Drive-in,1,20000000,20000000,250.22,,79930.00,ND,,,160.00<,79930.00,,250.22,,
Fuel Outlet/Garage,47,3493436,2450000,1737.78,,2086.00,77.21<,,,181.48<,2416.22,,1169.61,,
Ground Level Parking,18,2709058,1135855,5083.66,,1009.00,270.44<,,,116.50<,1614.63,,1878.34,,
Guest/BackPack Unsp,8,1118434,1112638,808.76,,1358.50,5.69<,,,74.18<,57565.88,,19.43,,
Health Clinic Unsp,131,1846859,1027500,1943.28,,727.00,100.24<,,,92.26<,1062.10,,1669.89,,
Health Surgery,38,2355414,1384000,672.32,,766.00,192.89<,,,123.02<,1035.26,,2289.47,,
Holiday Units,7,822857,800000,51.05,,15670.00,500.00<,,,270.73<,24939.40,,42.14,,
Hotel,38,1206907,877500,557.46,,1991.50,117.00<,,,71.38<,7011.68,,172.13,,
Hotel-Gaming,3,14588030,7730000,1090.62,,2782.00,ND,,,ND,2966.67,,4917.31,,
Hotel/Motel Unsp,79,3678671,1150000,103.81,,2890.00,125.00<,,,127.78<,24655.64,,119.23,,
Indiv CarPark Unspe,40,49542,30000,NA,,NA,85.71<,,,70.59<,NA,,NA,,
Licensed Restaurant,10,1231000,655000,1830.48,,1037.50,77.06<,,,242.59<,1229.50,,1001.22,,
Licensed Ret Prem,2,36100000,36100000,4480.97,,7939.50,3610.00<,,,363.91<,7939.50,,4546.89,,
Live Ent-Major Multi,4,1939500,1225000,2299.59,,1814.00,41.02<,,,36.32<,1670.25,,1161.20,,
LowRise Office Build,20,18984029,4067655,8000.00,,750.00,96.29<,,,61.17<,4268.18,,5169.32,,
Medical/Surgery,25,1244738,1000000,2355.07,,828.00,149.81<,,,119.95<,1034.61,,1228.63,,
Member Club Facility,3,3921000,4500000,625.00,,2000.00,327.27<,,,973.70<,5000.67,,784.10,,
Mixed Use Office,23,693450,440000,123.46,,1083.50,62.32<,,,110.00<,2755.44,,287.42,,
Mixed Use Shop,9,768319,415000,3871.50,,607.00,148.06<,,,42.42<,1047.44,,733.52,,
Mixed Use Studio,3,598798,650000,1857.14,,350.00,ND,,,ND,315.67,,1896.93,,
Mixed Use Unspec,269,1966637,767000,2379.15,,430.00,123.71<,,,119.84<,2073.99,,889.70,,
Mixed Use Workroom,1,28000,28000,NA,,NA,ND,,,ND,NA,,NA,,
Motel,30,1785833,1402500,483.39,,3401.00,166.96<,,,113.62<,28938.47,,61.71,,
Multi Use FuelOutlet,4,4211249,2032500,187.47,,4694.00,216.26<,,,50.81<,4325.67,,1153.58,,
Multi-Lvl Offic Unsp,41,46050418,650000,29112.83,,2322.00,0.96<,,,44.22<,4748.85,,7260.59,,
Multi-storey CarPark,2,41480500,41480500,18635.02,,2324.50,375.39<,,,47.62<,2324.50,,17844.91,,
National Co Rest,7,5422428,3500000,23036.81,,815.00,140.00<,,,500.00<,1281.86,,4230.13,,
National Co Ret Unsp,12,12145562,9100000,2403.73,,4077.00,244.62<,,,433.33<,12340.27,,883.43,,
Office & Dwelling,7,1251000,1075000,6440.00,,250.00,81.75<,,,ND,541.00,,2312.38,,
Office 4 to 50 Lvls,2,55900000,55900000,78623.19,,1104.00,12.67<,,,90.89<,1104.00,,78623.19,,
Office Cvrt Dwelling,13,1738673,705000,3257.90,,555.00,155.80<,,,113.71<,554.25,,1499.74,,
Office Premises Uns,910,2397066,694445,1108.28,,696.50,121.04<,,,125.01<,2668.08,,815.75,,
Plant/Tree Nursery,3,1983333,987500,4.94,,58680.00,171.74<,,,167.37<,2062.00,,836.57,,
Playhouse/Theatre,1,800000,800000,1596.81,,501.00,ND,,,1.37<,501.00,,1596.81,,
Pub,5,7040000,5300000,33057.85,,363.00,120.45<,,,235.56<,380.80,,18487.39,,
Pub/Tavern/Club Unsp,87,2945476,1100000,350.55,,2022.00,75.86<,,,83.84<,10390.98,,265.17,,
Reception/Function,2,10025000,10025000,1938.09,,5124.00,464.12<,,,219.42<,5124.00,,1956.48,,
Recreation Camp,2,1975000,1975000,19.18,,301165.00,329.17<,,,ND,301165.00,,6.56,,
Restaurant,35,2021182,1435000,12707.58,,277.00,102.50<,,,74.55<,1256.76,,1666.90,,
Retail Mult Occ Unsp,276,4103955,1020000,5320.75,,265.00,130.49<,,,92.52<,1362.40,,2472.67,,
Retail Sgle Occ Unsp,1593,1298364,705000,13630.48,,346.50,122.61<,,,96.51<,4375.93,,285.02,,
Retail Store/Showrm,20,3701833,2887500,3337.31,,968.50,210.77<,,,69.37<,5539.67,,533.89,,
Serv Apt/Unit Unsp,124,440756,332500,45.07,,1997.00,87.50<,,,75.40<,18880.74,,38.75,,
Serviced Apartments,6,593166,413750,1411.29,,992.00,100.91<,,,59.14<,1050.00,,783.33,,
Serviced Office,2,657500,657500,133.54,,4231.00,375.71<,,,7.49<,4231.00,,133.54,,
Shop,191,879512,665000,4163.57,,269.00,105.14<,,,97.79<,1520.60,,598.71,,
Shop & Dwelling,42,912571,795000,4695.84,,260.50,105.12<,,,55.50<,453.90,,2010.49,,
Shop Cnt Neighbhood,1,1100000,1100000,61.81,,17797.00,2.71<,,,68.71<,17797.00,,61.81,,
Shop Cnt SubRegional,1,81100000,81100000,1158.57,,70000.00,ND,,,ND,70000.00,,1158.57,,
Shopping Centre Unsp,38,25444831,3000000,85.15,,1744.00,9.61<,,,14.89<,13561.03,,1092.98,,
Strata/Subdiv Office,87,442918,220000,48.24,,4353.00,89.52<,,,153.31<,5222.57,,74.78,,
Supermarket,12,12844583,7157500,12233.65,,1361.00,62.10<,,,99.03<,3306.18,,3322.56,,
Tavern,2,2456500,2456500,2220.97,,21152.50,ND,,,208.57<,21152.50,,116.13,,
Timber Yard/Supplies,1,640000,640000,154.22,,4150.00,3.40<,,,26.11<,4150.00,,154.22,,
Tourist Park/Caravan,46,3703885,1725000,29.13,,33300.00,80.23<,,,198.28<,71195.93,,47.55,,
Tourist Resort Compl,1,12800000,12800000,55652.17,,230.00,815.29<,,,ND,230.00,,55652.17,,
Vehicle Rental Centr,1,1235714,1235714,630.47,,1960.00,39.01<,,,387.37<,1960.00,,630.47,,
Vehicle Sales Centre,37,6816199,2997500,554.65,,3065.00,106.86<,,,128.92<,7917.68,,860.88,,
Veterinary Clinic,23,1522608,715000,776.50,,942.00,119.17<,,,93.77<,4989.00,,311.50,,
Community Services,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Ambulance Station,5,1267750,1474000,2549.58,,706.00,75.59<,,,ND,1217.60,,1041.19,,
Child Centre Unsp,4,7235859,7301718,4764.59,,2294.00,429.51<,,,192.15<,4568.00,,1584.03,,
Community Facility,1,550000,550000,1070.04,,514.00,74.63<,,,ND,514.00,,1070.04,,
Community Health Cen,3,445000,418000,794.87,,975.00,58.16<,,,ND,1066.67,,417.19,,
Day Care Centre,35,5417879,5925000,3457.21,,2045.00,185.97<,,,133.37<,2253.86,,2403.83,,
Fire Station,5,852100,407000,811.70,,3266.00,90.95<,,,99.09<,3956.20,,215.38,,
Gov Primary School,4,408300,483900,27.45,,19997.00,ND,,,98.98<,19997.00,,25.30,,
Gov School (Unsp),1,20663500,20663500,246.00,,83997.00,3745.76<,,,221.00<,83997.00,,246.00,,
Halls&Service Rooms,6,982666,202500,1965.57,,831.50,35.29<,,,22.27<,1286.83,,763.63,,
NonGov School Unsp,4,42293125,5943750,178.66,,114850.00,194.24<,,,327.48<,229157.50,,184.56,,
Place of Worship,27,591145,390000,63.34,,1263.00,75.00<,,,57.78<,2082.44,,283.87,,
Private Hospital,3,69926666,79970000,10831.64,,7383.00,ND,,,999.63<,33294.33,,2100.26,,
Public Hospital,1,870000,870000,1237.55,,703.00,ND,,,ND,703.00,,1237.55,,
"Public,Ed,Health Imp",2,771500,771500,1050.70,,1010.00,166.81<,,,ND,1010.00,,763.86,,
Religious Hall,3,1501666,700000,163.71,,733.00,69.93<,,,578.51<,1693.33,,886.81,,
Religious Residence,9,1441654,989000,1191.57,,830.00,189.28<,,,113.68<,1317.44,,1094.28,,
Rural&Comm Camps,1,2750000,2750000,91.67,,30000.00,375.43<,,,739.25<,30000.00,,91.67,,
Technical&Further Ed,1,580000,580000,287.84,,2015.00,1.82<,,,ND,2015.00,,287.84,,
University,2,22275000,22275000,31136.55,,632.50,40.77<,,,44.34<,632.50,,35217.39,,
Vac Com Service Site,1,84700,84700,4.43,,19117.00,ND,,,ND,19117.00,,4.43,,
Vac Edu & Res Site,6,12701907,10261698,303.35,,34993.00,238.64<,,,242.31<,32208.00,,329.80,,
Vac Health Ser Site,2,2566000,2566000,1888.61,,1170.00,22.92<,,,18.91<,1170.00,,2193.16,,
Vac Religious Site,1,100000,100000,8.33,,12000.00,82.64<,,,ND,12000.00,,8.33,,
Extractive Industry,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
ExtInd Manufact Mat,2,2064605,2064605,27.15,,274510.00,1376.40<,,,ND,274510.00,,7.52,,
Quarry Gravel/Stone,2,481250,481250,2.05,,242850.00,125.00<,,,2.82<,242850.00,,1.98,,
Quarry Manufact Mat,1,1725000,1725000,1.63,,1055400.00,115.00<,,,ND,1055400.00,,1.63,,
Quarry Sand,2,1498260,1498260,196.56,,200518.50,ND,,,ND,200518.50,,7.47,,
Industrial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Abattoirs,1,2000000,2000000,10.09,,198300.00,589.97<,,,114.29<,198300.00,,10.09,,
Bulk Grain (Stuct),7,2128507,849553,242.18,,22710.00,148.52<,,,551.66<,40344.29,,52.76,,
Concrete Batch Plant,2,1525000,1525000,199.56,,7642.00,435.71<,,,ND,7642.00,,199.56,,
Coolstore/Coldstore,8,18237364,5726141,1411.77,,4056.00,11.69<,,,715.77<,12718.71,,1635.93,,
Factory,104,981183,640000,2864.25,,414.00,121.85<,,,166.23<,924.19,,1114.63,,
Factory Unit,75,714056,495000,2651.68,,225.00,105.88<,,,107.14<,1574.00,,487.52,,
Factory Unsp,1762,1592619,682000,1339.54,,698.00,124.00<,,,124.00<,3342.12,,505.39,,
Food ProcessingUnsp,15,10491899,1015000,58.28,,11900.00,136.24<,,,26.71<,15198.57,,434.15,,
Garage/Motor Vehicle,17,1633494,1320000,3047.41,,1147.50,86.56<,,,345.10<,1711.50,,966.60,,
Hard/Storage Yard,9,1181754,1150000,524.58,,2721.00,1150.00<,,,738.77<,6836.11,,172.87,,
Ind Dev Site,656,1477089,537625,27.77,,2521.00,104.39<,,,90.36<,9570.44,,152.84,,
Ind Land Building $0,26,1505192,1432500,111.79,,1230.00,217.00<,,,46.21<,7217.44,,206.36,,
Office/Factory,144,2836413,1024000,1142.27,,731.00,89.04<,,,52.32<,3194.42,,930.48,,
OpArea ContainerStor,1,26000000,26000000,1688.31,,15400.00,ND,,,ND,15400.00,,1688.31,,
OpenStorageUnspec,20,1631475,707750,896.51,,7211.50,205.30<,,,283.55<,45138.35,,36.14,,
Processing Plant,2,1644500,1644500,125.31,,55428.50,54.82<,,,ND,55428.50,,29.67,,
Rendering Plant,1,3190000,3190000,787.85,,4049.00,183.07<,,,225.08<,4049.00,,787.85,,
Sawmill,3,7216666,1650000,569.99,,34650.00,640.78<,,,431.37<,33336.67,,216.48,,
Storage Depot,9,2414444,1050000,810.94,,4316.00,500.00<,,,17.10<,8512.11,,283.65,,
Vac Englobo Land,5,2838732,1920160,471.31,,18000.00,7.68<,,,71.25<,142013.80,,19.99,,
Warehouse,21,3461171,420000,1550.18,,558.00,28.92<,,,56.00<,2198.47,,1715.80,,
Warehouse Store,42,3247519,314250,88.84,,2814.00,218.91<,,,149.22<,4822.89,,761.01,,
Warehouse Unspec,1350,2326077,726000,1264.52,,872.50,132.00<,,,124.64<,6227.30,,405.34,,
Warehouse/Factory,75,2460116,825000,695.41,,719.00,93.75<,,,69.92<,3211.34,,838.07,,
Warehouse/Office,118,2702324,985000,897.78,,1273.00,82.08<,,,74.70<,6000.16,,448.42,,
Warehouse/Showroom,33,3156895,750000,2396.31,,651.00,104.17<,,,42.25<,3735.26,,971.76,,
Works Depot,1,41800000,41800000,1252.77,,33366.00,ND,,,ND,33366.00,,1252.77,,
Workshop,9,1227037,315000,171.10,,1315.00,129.42<,,,233.33<,1308.22,,937.94,,
Wrecking Yard,1,1700000,1700000,439.39,,3869.00,207.09<,,,ND,3869.00,,439.39,,
Infrastruc&Utilities,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Airport Hangar Build,4,363250,350000,578.25,,674.50,157.48<,,,ND,905.50,,401.16,,
BusInterchangeCentre,1,354545,354545,166.69,,2127.00,ND,,,ND,2127.00,,166.69,,
BusMaintenanceDepot,1,75000,75000,39.52,,1898.00,ND,,,ND,1898.00,,39.52,,
Closed Roads,25,57315,22000,310.87,,46.00,102.17<,,,175.09<,153.55,,366.48,,
ElectPowerGenerator,1,100000,100000,103.95,,962.00,909.09<,,,23.92<,962.00,,103.95,,
Electric Substation,3,160933,25300,1265.00,,20.00,23.00<,,,0.48<,22.33,,7205.97,,
Major Water Conduits,1,2156000,2156000,21.56,,100000.00,ND,,,ND,100000.00,,21.56,,
Phone Exchange,2,748885,748885,110.90,,1001517.00,161.05<,,,788.30<,1001517.00,,0.75,,
Port Channel,1,5000,5000,NA,,NA,ND,,,ND,NA,,NA,,
Port Dock/Berth,9,86888,58000,379.32,,159.00,39.32<,,,ND,223.50,,450.41,,
Post Offices,13,1993907,320000,483.38,,662.00,104.07<,,,94.81<,731.23,,2726.78,,
Ramps and Jetties,1,55000,55000,NA,,NA,ND,,,ND,NA,,NA,,
Reserve for Drainage,2,56550,56550,12.23,,28778.50,ND,,,ND,28778.50,,1.97,,
ReservedRoads,3,12333,11000,18.12,,607.00,ND,,,118.52<,607.00,,18.12,,
Sewerage/StormUnsp,1,11000,11000,0.77,,14340.00,90.31<,,,ND,14340.00,,0.77,,
TelecomTowers Unspec,3,4043333,3000000,765.11,,3921.00,592.24<,,,570.56<,5636.67,,717.33,,
TV/Radio Station,2,14544339,14544339,1658.13,,6080.00,2718.57<,,,ND,6080.00,,2392.16,,
UnspÐTranspStorUtil,1,11300,11300,13.95,,810.00,42.36<,,,ND,810.00,,13.95,,
Utilities Vac Land,6,572803,22500,475.20,,1504.00,9.00<,,,11.84<,1922.00,,298.02,,
Water Catchment Area,2,4425,4425,0.71,,6292.50,ND,,,ND,6292.50,,0.70,,
"National Parks, etc",,,,,,($/SM),(SM),,,,(SM),,($/SM),,
ConservationÐPrivate,1,88000,88000,22.22,,3961.00,67.69<,,,102.33<,3961.00,,22.22,,
Forest ResÐPrivate,1,310000,310000,0.37,,849300.00,ND,,,ND,849300.00,,0.37,,
Nature Reserve,2,56454,56454,123.00,,4922.00,446.28<,,,248.15<,4922.00,,11.47,,
PrtcLdscapePrivate,1,170000,170000,17.00,,10000.00,ND,,,ND,10000.00,,17.00,,
VacLnd FutureReserve,2,121000,121000,24.75,,404.00,49.44<,,,51.16<,404.00,,24.75,,
Primary Production,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Cattle Feed Lot,6,651615,639000,0.53,,380100.00,204.81<,,,171.54<,1015315.00,,0.59,,
Com Flower&Plant,1,900000,900000,2.71,,332100.00,ND,,,180.00<,332100.00,,2.71,,
Crop Ð Fodder Crops,9,775833,670000,0.79,,480000.00,116.52<,,,62.62<,570794.89,,1.36,,
DomsticLivestockGraz,487,985679,610000,1.16,,398353.50,122.05<,,,135.32<,602933.20,,1.63,,
GenCrop >20ha Unspec,372,1244073,715680,1.37,,1270500.00,118.38<,,,143.14<,1872885.77,,0.66,,
Glasshouse Plant/Veg,1,1750000,1750000,18.83,,92940.00,380.43<,,,ND,92940.00,,18.83,,
Hardwood Plantation,7,793920,810000,0.75,,948700.00,194.88<,,,120.90<,1074760.00,,0.74,,
Horse Stud,1,5100000,5100000,20.38,,250221.00,ND,,,130.43<,250221.00,,20.38,,
Horse Unspecified,25,1623900,1450000,3.76,,186260.00,90.63<,,,152.63<,250745.72,,6.48,,
Kennel/Cattery,5,9885000,700000,189.15,,90700.00,100.72<,,,89.74<,95850.00,,120.57,,
Livestock Ð  Beef,302,1809766,900000,2.85,,405000.00,123.12<,,,139.00<,626204.94,,2.89,,
Livestock Ð  Dairy,267,1363249,960000,1.85,,630000.00,123.49<,,,150.08<,817438.23,,1.68,,
Livestock Ð Sheep,107,1962851,879100,0.53,,651720.50,147.05<,,,154.23<,1405368.25,,1.40,,
MarketGardenVeg <20h,30,2369338,985000,10.18,,76600.00,218.89<,,,96.10<,159502.41,,15.35,,
MixedFarm + infrast,373,1892243,1050000,1.54,,534600.00,136.36<,,,142.86<,1034597.26,,1.83,,
MixedFarm no infrast,181,2110442,830000,0.74,,544000.00,148.21<,,,190.80<,792406.06,,2.66,,
MixedFarm&GrazUnsp,1073,1491173,864870,4.66,,461600.00,137.83<,,,151.73<,1671622.01,,0.89,,
NatBshland +Agreem,1,340000,340000,0.74,,460600.00,161.90<,,,75.22<,460600.00,,0.74,,
Native Animals,1,370000,370000,0.42,,888800.00,30.60<,,,98.68<,888800.00,,0.42,,
Native Bshland,63,904586,259000,2.75,,199450.00,121.88<,,,103.60<,329612.20,,1.58,,
Native Hardwood,22,467150,350000,0.79,,481500.00,133.33<,,,312.50<,671324.55,,0.70,,
Non-Native Animals,3,395833,434999,1.48,,157200.00,ND,,,112.99<,140974.00,,2.81,,
Orchard Plantations,60,5849305,718326,4.37,,162500.00,110.61<,,,135.53<,3555585.42,,1.65,,
Piggery,7,1650571,1375000,2.99,,460000.00,264.42<,,,57.41<,500445.71,,3.30,,
Plant/Tree Nursery,31,1439240,987500,4.94,,58680.00,171.74<,,,167.37<,251694.94,,5.72,,
Poultry Ð Open Range,2,580000,580000,2.59,,280000.00,80.44<,,,103.57<,280000.00,,2.07,,
Poultry broiler,9,2543333,2600000,18.19,,187500.00,94.37<,,,48.96<,487983.33,,5.21,,
Poultry egg,2,6350000,6350000,20.81,,343405.00,610.58<,,,409.68<,343405.00,,18.49,,
Softwood Plantation,20,1418035,485000,0.53,,715700.00,130.20<,,,275.57<,1039327.50,,1.36,,
Specialised Cropping,7,1517578,1319050,1.58,,1042000.00,141.40<,,,323.78<,981228.57,,1.55,,
Vineyard,98,1519517,1005900,3.14,,119500.00,155.95<,,,205.29<,295013.51,,5.17,,
Residential,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Age Care/Nursing Uns,11,4133322,3762000,2740.18,,2722.00,122.14<,,,77.33<,3608.27,,1145.51,,
Aged Care Complex,1,8500000,8500000,5077.66,,1674.00,90.74<,,,44.16<,1674.00,,5077.66,,
Boarding House,63,1115862,950000,712.28,,652.00,99.37<,,,113.10<,657.48,,1719.75,,
Cabin/Accommodation,2,2022500,2022500,663.13,,2893.50,2128.95<,,,76.88<,2893.50,,698.98,,
Cojoin Strata Unsp,1285,925552,673000,NA,,NA,99.70<,,,112.17<,NA,,NA,,
Conjoined StrataUnit,439,592811,585000,NA,,NA,110.59<,,,117.94<,NA,,NA,,
Detached Home (Ind),22,788568,364000,485.24,,881.00,121.33<,,,39.50<,2160.09,,365.06,,
Detached Home (New),186,958677,698000,1557.92,,518.00,126.91<,,,120.14<,625.42,,1540.99,,
Detached Home Unsp,89330,984186,750000,1770.49,,610.00,119.05<,,,122.95<,778.06,,1265.13,,
Detached Home(Comm),107,627544,500000,554.33,,757.00,158.73<,,,204.08<,790.11,,796.08,,
Detached Home(exist),8879,693437,560000,457.70,,721.00,123.08<,,,91.06<,903.21,,766.93,,
Disability Housing,7,1712071,1420000,2624.56,,562.00,ND,,,37.87<,1326.71,,1290.46,,
Garage/Outbuild Res,12,353166,200000,113.79,,747.00,98.77<,,,76.34<,10032.91,,32.51,,
Garage/Outbuild Rur,8,334375,267500,80.38,,6061.50,76.43<,,,ND,26349.25,,12.69,,
Granny Flat/Studio,8,773000,491500,609.39,,809.00,59.22<,,,ND,809.00,,609.39,,
Half Pair or Duplex,105,1089447,930000,2719.48,,369.00,104.03<,,,114.89<,390.72,,2750.72,,
House & Flat/Studio,6,721408,674225,525.71,,1120.00,187.28<,,,60.74<,1200.83,,600.76,,
Individual Berth,24,205895,191250,3060.34,,58.00,111.19<,,,95.63<,65.50,,3144.69,,
